Fraction,Z,Interpolation
0.0,0.000000,Linear
0.0058069262730569135,0.000000,Linear
0.012953912186662465,11.000000,Linear
0.0371275421724736,196.400000,Linear
0.041568132823585055,205.2,Linear
0.0782227126753902,437.2,Linear
0.08247937356140628,445.0,Linear
0.08418729307898472,449.0,Linear
0.17021388404540438,918.2,Linear
0.17444426927321457,924.0,Linear
0.17694045924641338,933.0,Linear
0.36591518209049345,1830.0,Cubic
0.3807872195333439,1888.0,Linear
0.4238152293867256,1917.0,Linear
0.6367386620684219,2851.0,Linear
0.8853854642913449,3737.0,Cubic
0.9247464396184771,3816.0,Linear
1.0,3832.0,Linear